Timestamp (UTC),Open,High,Low,Close,FCPO Mar23: Volume
2022-12-27,4005,4117,4000,4104,27368
2022-12-28,4098,4133,4068,4090,19952
2022-12-29,4100,4106,4004,4090,18145
2022-12-30,4125,4242,4075,4178,24970
2023-01-03,4146,4276,4142,4255,24541
2023-01-04,4241,4257,4147,4171,30017
2023-01-05,4154,4170,4050,4091,29682
2023-01-06,4104,4136,4040,4052,24469
2023-01-09,4048,4124,3979,4117,27384
2023-01-10,4100,4102,3913,3972,33253
2023-01-11,3975,3999,3888,3909,26929
2023-01-12,3929,3963,3861,3908,23574
2023-01-13,3925,3930,3835,3842,23502
2023-01-16,3886,3919,3847,3850,8952
2023-01-17,3860,3876,3780,3790,9895
2023-01-18,3824,3886,3797,3864,12386
2023-01-19,3845,3913,3844,3889,5828
2023-01-20,3884,3944,3860,3891,7184
2023-01-25,3850,3853,3722,3755,9044
2023-01-26,3759,3821,3728,3780,3970
2023-01-27,3782,3903,3778,3903,6067
2023-01-30,3930,3988,3912,3927,7395
2023-01-31,3940,3971,3800,3809,5585
2023-02-02,3729,3780,3717,3739,3597
2023-02-03,3744,3850,3718,3832,5250
2023-02-07,3873,3957,3871,3908,5880
2023-02-08,3919,4017,3900,3970,5152
2023-02-09,3969,3980,3919,3950,3701
2023-02-10,3952,3959,3825,3905,4006
2023-02-13,3935,3941,3854,3883,2508
2023-02-14,3881,3936,3868,3920,3836
2023-02-15,3915,3945,3870,3913,3578
2023-02-16,3923,4050,3899,4030,2092
2023-02-17,4055,4122,4055,4095,1083
2023-02-20,4110,4150,4099,4124,1443
2023-02-21,4150,4150,4080,4098,977
2023-02-22,4106,4175,4092,4099,1128
2023-02-23,4140,4191,4120,4191,1006
2023-02-24,4183,4210,4145,4161,1001
2023-02-27,4138,4191,4109,4191,873
2023-02-28,4145,4156,4111,4115,521
2023-03-01,4123,4174,4120,4172,203
2023-03-02,4210,4300,4210,4270,357
2023-03-03,4301,4325,4270,4325,305
2023-03-06,4246,4260,4246,4260,40
2023-03-07,4246,4282,4190,4198,276
2023-03-08,4218,4227,4173,4227,44
2023-03-09,4194,4194,4160,4160,32
2023-03-10,4185,4185,4127,4164,155
2023-03-13,4110,4130,4110,4120,68
