instrument,group,era,shape,duration_bucket,horizon,n_signals,reversion_rate_pct,continuation_rate_pct,anti_rev_depth_z,time_to_turn_days,half_life_days,net_directional_bias_pct,low_n_flag
M5-M6,live-9,full,MB,early,5,26,7.69,7.69,3.023,3.5,3.5,-42.31,
M5-M6,live-9,full,MB,early,10,26,38.46,7.69,3.023,3.5,5.5,-11.54,
M5-M6,live-9,full,MB,early,20,26,76.92,15.38,2.897,14.5,5.5,26.92,
M5-M6,live-9,full,MB,established,5,2,0.0,0.0,,,,-50.0,LOW-N
M5-M6,live-9,full,MB,established,10,2,0.0,0.0,,,,-50.0,LOW-N
M5-M6,live-9,full,MB,established,20,2,0.0,0.0,,,,-50.0,LOW-N
M5-M6,live-9,full,MB,mid,5,15,20.0,33.33,2.571,1.0,2.0,-30.0,LOW-N
M5-M6,live-9,full,MB,mid,10,15,20.0,40.0,2.661,1.5,2.0,-30.0,LOW-N
M5-M6,live-9,full,MB,mid,20,15,26.67,53.33,2.7,2.5,2.0,-23.33,LOW-N
M5-M6,live-9,full,SB,early,5,28,7.14,14.29,1.774,3.0,3.0,-42.86,
M5-M6,live-9,full,SB,early,10,28,28.57,21.43,2.311,6.0,5.5,-21.43,
M5-M6,live-9,full,SB,early,20,28,67.86,32.14,2.91,11.0,10.0,17.86,
M5-M6,live-9,full,SB,established,5,56,17.86,37.5,2.718,2.0,2.5,-32.14,
M5-M6,live-9,full,SB,established,10,56,33.93,42.86,2.861,3.5,5.0,-16.07,
M5-M6,live-9,full,SB,established,20,56,48.21,46.43,2.855,4.0,5.0,-1.79,
M5-M6,live-9,full,SB,mid,5,41,43.9,39.02,2.363,2.0,2.0,-6.1,
M5-M6,live-9,full,SB,mid,10,41,70.73,48.78,2.446,3.0,3.0,20.73,
M5-M6,live-9,full,SB,mid,20,41,85.37,53.66,2.762,4.5,3.0,35.37,
M5-M6,live-9,full,TB,early,5,8,50.0,25.0,2.921,4.5,3.0,0.0,LOW-N
M5-M6,live-9,full,TB,early,10,8,87.5,25.0,2.921,4.5,4.0,37.5,LOW-N
M5-M6,live-9,full,TB,early,20,8,87.5,25.0,2.921,4.5,4.0,37.5,LOW-N
M5-M6,live-9,full,TB,established,5,2,0.0,0.0,,,,-50.0,LOW-N
