Timestamp (UTC),Open,High,Low,Close,FCPO Jan09: Volume
2008-02-14,3400,3430,3400,3430,0
2008-02-18,3558,3558,3558,3558,0
2008-02-18,3558,3558,3558,3558,0
2008-02-19,3599,3601,3580,3591,0
2008-02-20,3646,3646,3630,3645,0
2008-02-21,3610,3630,3610,3630,0
2008-02-25,3800,3840,3800,3825,0
2008-02-25,3737,3737,3737,3737,0
2008-02-26,3792,3792,3792,3792,0
2008-02-27,3771,3771,3771,3771,0
2008-02-28,3900,3900,3900,3900,0
2008-03-03,4206,4206,4206,4206,0
2008-03-03,4190,4190,3991,3991,0
2008-03-04,3987,3987,3987,3987,0
2008-03-05,3901,3901,3901,3901,0
2008-03-06,3660,3660,3660,3660,0
2008-03-10,3660,3660,3660,3660,0
2008-03-10,3814,3814,3814,3814,0
2008-03-11,3755,3755,3755,3755,0
2008-03-12,3789,3789,3789,3789,0
2008-03-13,3698,3698,3698,3698,0
2008-03-17,3584,3584,3584,3584,0
2008-03-17,3399,3399,3399,3399,0
2008-03-18,3320,3320,3320,3320,0
2008-03-20,3300,3300,3300,3300,0
2008-03-24,3310,3310,3310,3310,0
2008-03-24,3474,3474,3474,3474,0
2008-03-25,3595,3640,3595,3640,0
2008-03-26,3640,3640,3640,3640,0
2008-03-27,3506,3506,3506,3506,0
2008-03-31,3353,3353,3353,3353,0
2008-03-31,3353,3353,3353,3353,0
2008-04-01,3125,3138,3125,3138,0
2008-04-02,3350,3350,3350,3350,0
2008-04-03,3350,3350,3350,3350,0
2008-04-07,3350,3350,3350,3350,0
2008-04-07,3350,3355,3350,3355,0
2008-04-08,3360,3375,3305,3305,0
2008-04-09,3400,3425,3400,3425,0
2008-04-10,3488,3488,3488,3488,0
2008-04-14,3500,3560,3500,3560,0
2008-04-14,3699,3699,3699,3699,0
2008-04-15,3700,3700,3700,3700,0
2008-04-16,3658,3658,3658,3658,0
2008-04-17,3528,3528,3528,3528,0
2008-04-21,3432,3432,3432,3432,0
2008-04-21,3430,3435,3430,3430,0
2008-04-22,3535,3535,3535,3535,0
2008-04-23,3435,3473,3435,3473,0
2008-04-24,3370,3375,3370,3375,0
2008-04-28,3470,3480,3470,3480,0
2008-04-28,3320,3340,3315,3326,0
2008-04-29,3365,3365,3365,3365,0
2008-05-01,3300,3310,3295,3310,0
2008-05-05,3360,3360,3360,3360,0
2008-05-05,3380,3380,3380,3380,0
2008-05-06,3360,3360,3360,3360,0
2008-05-07,3360,3360,3360,3360,0
2008-05-08,3470,3480,3470,3480,0
2008-05-12,3561,3561,3561,3561,0
2008-05-12,3529,3529,3529,3529,0
2008-05-13,3529,3529,3529,3529,0
2008-05-14,3500,3505,3499,3499,0
2008-05-15,3540,3540,3540,3540,0
2008-05-19,3515,3524,3515,3524,0
2008-05-20,3515,3524,3515,3524,0
2008-05-21,3594,3600,3590,3600,0
2008-05-22,3616,3645,3616,3635,0
2008-05-26,3671,3671,3671,3671,0
2008-05-26,3715,3720,3700,3720,0
2008-05-27,3554,3554,3554,3554,0
2008-05-28,3542,3560,3542,3556,0
2008-05-29,3491,3499,3400,3481,0
2008-06-02,3530,3530,3480,3490,0
2008-06-02,3510,3530,3508,3524,0
2008-06-03,3480,3480,3436,3436,0
2008-06-04,3436,3500,3420,3500,0
2008-06-05,3583,3600,3475,3600,0
2008-06-09,3690,3690,3658,3658,0
2008-06-09,3658,3658,3658,3658,0
2008-06-10,3530,3600,3515,3600,0
2008-06-11,3660,3660,3590,3590,0
2008-06-12,3660,3670,3648,3648,0
2008-06-17,3635,3635,3635,3635,0
2008-06-18,3610,3610,3603,3603,0
2008-06-19,3530,3560,3530,3560,0
2008-06-23,3555,3555,3555,3555,0
2008-06-23,3492,3492,3492,3492,0
2008-06-24,3550,3550,3532,3532,0
2008-06-25,3550,3550,3550,3550,0
2008-06-26,3631,3631,3631,3631,0
2008-06-30,3600,3600,3600,3600,0
2008-06-30,3578,3578,3578,3578,0
2008-07-01,3622,3622,3622,3622,0
2008-07-02,3650,3657,3650,3657,0
2008-07-03,3650,3660,3650,3660,0
2008-07-07,3570,3570,3570,3570,0
2008-07-07,3510,3510,3491,3491,0
2008-07-08,3500,3550,3480,3550,0
2008-07-09,3510,3514,3494,3497,0
2008-07-10,3583,3587,3583,3587,0
2008-07-14,3548,3549,3532,3532,0
2008-07-14,3530,3560,3529,3560,0
2008-07-15,3529,3529,3470,3470,0
2008-07-16,3529,3529,3470,3470,0
2008-07-17,3390,3391,3376,3390,0
2008-07-21,3285,3285,3255,3261,0
2008-07-21,3285,3285,3255,3255,0
2008-07-22,3200,3200,3048,3055,0
2008-07-23,3080,3105,3077,3105,0
2008-07-24,3085,3085,3080,3080,0
2008-07-28,3104,3104,3010,3010,0
2008-07-28,3000,3000,2950,2970,0
2008-07-29,2975,2980,2975,2980,0
2008-07-30,3059,3059,3059,3059,0
2008-07-31,2980,2985,2955,2955,0
2008-08-04,2874,2895,2856,2895,0
2008-08-04,2774,2774,2750,2768,0
2008-08-05,2750,2803,2750,2803,0
2008-08-06,2800,2850,2800,2850,0
2008-08-07,2840,2840,2779,2779,0
2008-08-11,2671,2671,2671,2671,0
2008-08-11,2650,2657,2565,2566,0
2008-08-12,2580,2641,2515,2555,0
2008-08-13,2650,2652,2590,2625,0
2008-08-14,2545,2545,2409,2457,0
2008-08-18,2455,2490,2453,2490,0
2008-08-18,2550,2550,2376,2428,0
2008-08-19,2510,2595,2500,2595,0
2008-08-20,2610,2675,2610,2657,0
2008-08-21,2740,2750,2718,2740,0
2008-08-25,2660,2660,2600,2600,0
2008-08-25,2600,2600,2409,2409,0
2008-08-26,2482,2520,2419,2520,0
2008-08-27,2520,2550,2500,2514,0
2008-08-28,2525,2642,2520,2642,0
